"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Title 1","Title 1 Length","Title 1 Pixel Width","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Keyword 1","Meta Keywords 1 Length","H1-1","H1-1 length","H2-1","H2-1 length","H2-2","H2-2 length","Meta Robots 1","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","Size (bytes)","Word Count","Text Ratio","Crawl Depth","Link Score","Inlinks","Unique Inlinks","% of Total","Outlinks","Unique Outlinks","External Outlinks","Unique External Outlinks","Closest Similarity Match","No. Near Duplicates","Spelling Errors","Grammar Errors","Hash","Response Time","Last Modified","Redirect URL","Redirect Type","Cookies","HTTP Version","URL Encoded Address"
"https://seohacks.es/wp-content/uploads/2015/10/sumome-integracion.jpg","image/jpeg","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","25487","0","0.000","2","","1","1","3.700","0","0","0","0","","","","","","0.308","Tue, 04 Oct 2016 09:52:08 GMT","","","","HTTP/1.1","https://seohacks.es/wp-content/uploads/2015/10/sumome-integracion.jpg"
"https://seohacks.es/wp-content/uploads/2015/10/seguimiento-web-en-analytics.jpg","image/jpeg","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","65259","0","0.000","2","","1","1","3.700","0","0","0","0","","","","","","0.168","Tue, 04 Oct 2016 09:52:08 GMT","","","","HTTP/1.1","https://seohacks.es/wp-content/uploads/2015/10/seguimiento-web-en-analytics.jpg"
"https://seohacks.es/evolucion-blog/","text/html; charset=UTF-8","200","OK","Indexable","","Evolución del blog Archivos | SEO Hacks por Nacho Mascort","57","538","","0","0","","0","Categoría: Evolución del blog","29","#1 Creando mi blog SEO en WordPress","35","","0","","","","https://seohacks.es/evolucion-blog/","","","","","33269","275","5.486","2","","6","3","11.110","28","19","7","7","","","","","7d4a47341c4bbd657c72d50c9b81803f","0.180","Fri, 11 Dec 2020 00:53:07 GMT","","","","HTTP/1.1","https://seohacks.es/evolucion-blog/"
"https://seohacks.es/wp-content/uploads/2015/10/optimizar-search-console.jpg","image/jpeg","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","87697","0","0.000","2","","1","1","3.700","0","0","0","0","","","","","","0.215","Tue, 04 Oct 2016 09:52:07 GMT","","","","HTTP/1.1","https://seohacks.es/wp-content/uploads/2015/10/optimizar-search-console.jpg"
"https://seohacks.es/wp-content/uploads/2015/10/Configurando-Google-Analytics.jpg","image/jpeg","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","46915","0","0.000","2","","1","1","3.700","0","0","0","0","","","","","","0.205","Tue, 04 Oct 2016 09:52:04 GMT","","","","HTTP/1.1","https://seohacks.es/wp-content/uploads/2015/10/Configurando-Google-Analytics.jpg"
"https://seohacks.es/wp-content/uploads/2015/10/one.com-hosting-barato.jpg","image/jpeg","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","101481","0","0.000","2","","1","1","3.700","0","0","0","0","","","","","","0.206","Tue, 04 Oct 2016 09:52:07 GMT","","","","HTTP/1.1","https://seohacks.es/wp-content/uploads/2015/10/one.com-hosting-barato.jpg"
"https://seohacks.es/wp-content/uploads/2015/12/Guia-SEO-infografia-7-mitos-seo-ceo-e1450711212161.jpg","image/jpeg","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","329963","0","0.000","2","","0","0","0.000","0","0","0","0","","","","","","0.262","Tue, 04 Oct 2016 09:52:17 GMT","","","","HTTP/1.1","https://seohacks.es/wp-content/uploads/2015/12/Guia-SEO-infografia-7-mitos-seo-ceo-e1450711212161.jpg"
"https://seohacks.es/wp-content/uploads/2015/12/Guia-SEO-algoritmos-de-Google.png","image/png","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","377572","0","0.000","2","","1","1","3.700","0","0","0","0","","","","","","0.200","Tue, 04 Oct 2016 09:52:15 GMT","","","","HTTP/1.1","https://seohacks.es/wp-content/uploads/2015/12/Guia-SEO-algoritmos-de-Google.png"
"https://seohacks.es/wp-content/uploads/2015/12/Los-buscadores-más-usados.png","image/png","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","105674","0","0.000","2","","1","1","3.700","0","0","0","0","","","","","","0.205","Tue, 04 Oct 2016 09:52:19 GMT","","","","HTTP/1.1","https://seohacks.es/wp-content/uploads/2015/12/Los-buscadores-m%C3%A1s-usados.png"
"https://seohacks.es/wp-content/uploads/2016/12/https.png","image/png","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","14680","0","0.000","2","","1","1","3.700","0","0","0","0","","","","","","0.152","Thu, 22 Dec 2016 15:14:35 GMT","","","","HTTP/1.1","https://seohacks.es/wp-content/uploads/2016/12/https.png"
